TRH	NNP	B-Gene
of	IN	I-NegReg
function	NN	I-NegReg
mutations	NNS	B-Var
induce	VBP	B-PosReg
growth	NN	B-CPA
behavioral	JJ	B-CPA
defects	NNS	I-CPA

CRISPR	NNP	O
-	:	O
Cas9	NNP	O
technology	NN	O
was	VBD	O
used	VBN	O
to	TO	O
generate	VB	O
seven	CD	O
indel	NNS	O
TRH	NNP	O
mutants	NNS	O
in	IN	O
Daphnia	NNP	O
magna	NN	O
.	.	O

Mono	NNP	O
-	:	O
allelic	JJ	O
indel	NN	O
TRH	NNP	O
-	:	O
clones	NNS	O
showed	VBD	O
normal	JJ	O
levels	NNS	O
of	IN	O
serotonin	NN	O
,	,	O
measured	VBN	O
by	IN	O
both	DT	O
immunohistochemistry	NN	O
and	CC	O
mass	NN	O
spectrometry	NN	O
(	(	O
LC	NNP	O
-	:	O
MS	NNP	O
MS	NNP	O
)	)	O
,	,	O
whereas	JJ	O
bi	SYM	O
-	:	O
allelic	JJ	O
indel	NN	O
TRH	NNP	O
-	:	O
-	:	O
clones	NNS	O
showed	VBD	O
no	DT	O
detectable	JJ	O
levels	NNS	O
of	IN	O
serotonin	NN	O
.	.	O

Life	NNP	O
history	NN	O
and	CC	O
behavioral	JJ	O
responses	NNS	O
of	IN	O
TRH	NNP	O
-	:	O
-	:	O
clones	NNS	O
showed	VBD	O
the	DT	O
anti	JJ	O
-	:	O
phenotype	NN	O
of	IN	O
those	DT	O
exposed	VBN	O
to	TO	O
selective	VB	O
serotonin	JJ	O
reuptake	NN	O
inhibitors	NNS	O
(	(	O
SSRI	NNP	O
)	)	O
.	.	O

Mutants	NNS	B-Var
lacking	VBG	B-NegReg
serotonin	NN	B-MPA
grew	VBD	B-CPA
less	JJR	B-NegReg
and	CC	O
hence	RB	O
reproduced	VBD	B-CPA
latter	JJ	O
,	,	O
produced	VBD	O
smaller	JJR	B-NegReg
clutches	NNS	B-CPA
of	IN	O
smaller	JJR	B-NegReg
offspring	NN	B-CPA
and	CC	O
responded	VBD	O
to	TO	O
a	DT	O
greater	JJR	O
extent	NN	O
to	TO	O
light	NN	O
than	IN	O
wild	JJ	O
type	JJ	O
individuals	NNS	O
.	.	O
Mono	NNP	O
-	:	O
